home_team,away_team,home_team_code,away_team_code,year,date,date_time,group_name,round,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_city,stadium_name,stadium_name_official,stadium_name_event,stadium_percentage_filled
France,Spain,FRA,ESP,1984,1984-06-27,1984-06-27T18:00:00Z,,FINAL,47368.0,57779,FRA,47926.0,48.8414333,2.2530333,Paris,Parc des Princes,Parc des Princes,Parc des Princes,98.83570504527813
Denmark,Spain,DEN,ESP,1984,1984-06-24,1984-06-24T18:00:00Z,,SEMIFINAL,47843.0,62102,FRA,41069.0,45.7237278,4.8322306,Lyon,Stade de Gerland,Stade de Gerland,Stade de Gerland,116.4941927000901
France,Portugal,FRA,POR,1984,1984-06-23,1984-06-23T18:00:00Z,,SEMIFINAL,54848.0,62337,FRA,66534.0,43.26983,5.396,Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,82.43604773499264
Portugal,Romania,POR,ROU,1984,1984-06-20,1984-06-20T18:30:00Z,Group 2,GROUP_STANDINGS,24464.0,63199,FRA,35291.0,47.2560056,-1.5247083,Nantes,Stade de la Beaujoire,Stade de la Beaujoire,Stade de la Beaujoire,69.32079000311694
West Germany,Spain,FRG,ESP,1984,1984-06-20,1984-06-20T18:30:00Z,Group 2,GROUP_STANDINGS,47691.0,57779,FRA,47926.0,48.8414333,2.2530333,Paris,Parc des Princes,Parc des Princes,Parc des Princes,99.50966072695405
Denmark,Belgium,DEN,BEL,1984,1984-06-19,1984-06-19T18:30:00Z,Group 1,GROUP_STANDINGS,36911.0,63208,FRA,24077.0,48.5601722,7.7548417,Strasbourg,Stade de La Meinau,Stade de La Meinau,Stade de La Meinau,153.30398305436722
France,Yugoslavia,FRA,YUG,1984,1984-06-19,1984-06-19T18:30:00Z,Group 1,GROUP_STANDINGS,47510.0,63194,FRA,42000.0,45.4608556,4.390125,Saint-Etienne,Stade Geoffroy Guichard,Stade Geoffroy Guichard,Stade Geoffroy Guichard,113.1190476190476
Portugal,Spain,POR,ESP,1984,1984-06-17,1984-06-17T18:30:00Z,Group 2,GROUP_STANDINGS,24364.0,62337,FRA,66534.0,43.26983,5.396,Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,36.618871554393245
West Germany,Romania,FRG,ROU,1984,1984-06-17,1984-06-17T15:15:00Z,Group 2,GROUP_STANDINGS,31787.0,63207,FRA,38223.0,50.4328336,2.815,Lens Agglo,Stade Bollaert-Delelis,Stade Bollaert-Delelis,Stade Bollaert-Delelis,83.16197054129712
Denmark,Yugoslavia,DEN,YUG,1984,1984-06-16,1984-06-16T18:30:00Z,Group 1,GROUP_STANDINGS,34736.0,62102,FRA,41069.0,45.7237278,4.8322306,Lyon,Stade de Gerland,Stade de Gerland,Stade de Gerland,84.57960992476077
France,Belgium,FRA,BEL,1984,1984-06-16,1984-06-16T15:15:00Z,Group 1,GROUP_STANDINGS,51359.0,63199,FRA,35291.0,47.2560056,-1.5247083,Nantes,Stade de la Beaujoire,Stade de la Beaujoire,Stade de la Beaujoire,145.53002181859398
Romania,Spain,ROU,ESP,1984,1984-06-14,1984-06-14T18:30:00Z,Group 2,GROUP_STANDINGS,16972.0,63194,FRA,42000.0,45.4608556,4.390125,Saint-Etienne,Stade Geoffroy Guichard,Stade Geoffroy Guichard,Stade Geoffroy Guichard,40.40952380952381
West Germany,Portugal,FRG,POR,1984,1984-06-14,1984-06-14T15:15:00Z,Group 2,GROUP_STANDINGS,44707.0,63208,FRA,24077.0,48.5601722,7.7548417,Strasbourg,Stade de La Meinau,Stade de La Meinau,Stade de La Meinau,185.6834323213025
Belgium,Yugoslavia,BEL,YUG,1984,1984-06-13,1984-06-13T18:30:00Z,Group 1,GROUP_STANDINGS,41525.0,63207,FRA,38223.0,50.4328336,2.815,Lens Agglo,Stade Bollaert-Delelis,Stade Bollaert-Delelis,Stade Bollaert-Delelis,108.638777699291
France,Denmark,FRA,DEN,1984,1984-06-12,1984-06-12T18:30:00Z,Group 1,GROUP_STANDINGS,47570.0,57779,FRA,47926.0,48.8414333,2.2530333,Paris,Parc des Princes,Parc des Princes,Parc des Princes,99.25718816508784
Denmark,Germany,DEN,GER,1992,1992-06-26,1992-06-26T18:15:00Z,,FINAL,37800.0,62420,SWE,39705.0,57.7059583,11.9872333,Gothenburg,Ullevi,Ullevi,Ullevi,95.20211560256895
Netherlands,Denmark,NED,DEN,1992,1992-06-22,1992-06-22T18:15:00Z,,SEMIFINAL,37450.0,62420,SWE,39705.0,57.7059583,11.9872333,Gothenburg,Ullevi,Ullevi,Ullevi,94.32061453217479
Sweden,Germany,SWE,GER,1992,1992-06-21,1992-06-21T18:15:00Z,,SEMIFINAL,27827.0,57672,SWE,35572.0,59.3627111,17.9962972,Solna,Råsunda,Råsunda,Råsunda,78.22725739345553
Scotland,Commonwealth of Independent States,SCO,CIS,1992,1992-06-18,1992-06-18T18:15:00Z,Group 2,GROUP_STANDINGS,14660.0,63092,SWE,10227.0,58.584325,16.1730389,Norrkoping,NYA Parken,NYA Parken,NYA Parken,143.34604478341643
Netherlands,Germany,NED,GER,1992,1992-06-18,1992-06-18T18:15:00Z,Group 2,GROUP_STANDINGS,37725.0,62420,SWE,39705.0,57.7059583,11.9872333,Gothenburg,Ullevi,Ullevi,Ullevi,95.01322251605592
France,Denmark,FRA,DEN,1992,1992-06-17,1992-06-17T18:15:00Z,Group 1,GROUP_STANDINGS,25763.0,53480,SWE,1541.0,55.5948906,12.9956894,Malmö,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,1671.8364698247892
Sweden,England,SWE,ENG,1992,1992-06-17,1992-06-17T18:15:00Z,Group 1,GROUP_STANDINGS,30126.0,57672,SWE,35572.0,59.3627111,17.9962972,Solna,Råsunda,Råsunda,Råsunda,84.69020577982683
Netherlands,Commonwealth of Independent States,NED,CIS,1992,1992-06-15,1992-06-15T18:15:00Z,Group 2,GROUP_STANDINGS,34440.0,62420,SWE,39705.0,57.7059583,11.9872333,Gothenburg,Ullevi,Ullevi,Ullevi,86.73970532678504
Scotland,Germany,SCO,GER,1992,1992-06-15,1992-06-15T15:15:00Z,Group 2,GROUP_STANDINGS,17800.0,63092,SWE,10227.0,58.584325,16.1730389,Norrkoping,NYA Parken,NYA Parken,NYA Parken,174.04908575339786
Sweden,Denmark,SWE,DEN,1992,1992-06-14,1992-06-14T18:15:00Z,Group 1,GROUP_STANDINGS,29902.0,57672,SWE,35572.0,59.3627111,17.9962972,Solna,Råsunda,Råsunda,Råsunda,84.0604970201282
France,England,FRA,ENG,1992,1992-06-14,1992-06-14T15:15:00Z,Group 1,GROUP_STANDINGS,26535.0,53480,SWE,1541.0,55.5948906,12.9956894,Malmö,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,1721.9338092147957
Commonwealth of Independent States,Germany,CIS,GER,1992,1992-06-12,1992-06-12T18:15:00Z,Group 2,GROUP_STANDINGS,17700.0,63092,SWE,10227.0,58.584325,16.1730389,Norrkoping,NYA Parken,NYA Parken,NYA Parken,173.0712819008507
Netherlands,Scotland,NED,SCO,1992,1992-06-12,1992-06-12T15:15:00Z,Group 2,GROUP_STANDINGS,35720.0,62420,SWE,39705.0,57.7059583,11.9872333,Gothenburg,Ullevi,Ullevi,Ullevi,89.96348066994081
